,ID,Client,Tag,Country,Number,Strs,Type,Dety,Rest,Tent,Renew,CdsRoute
0,2000918O,FLIBONBT,7,MAU,,,,,,,,
1,2000918O,FLIBONBT,8,MAU,,,,,,,,
2,2000918O,FLIBONBT,11,MAU,,2.0,Test,4-Extra Dark,1NEH00029A,1669.0,9869.9,DSFF
3,2000918O,FLIBONBT,11,MAU,,2.0,Test,4-Extra Dark,1NEH00029A,1669.0,9869.9,DFGH
4,2000918O,FLIBONBT,11,MAU,,2.0,Test,4-Extra Dark,1NEH00029A,1669.0,9869.9,FSTPAD
5,2000918O,FLIBONBT,11,MAU,,2.0,Test,4-Extra Dark,1NEH00029A,1669.0,9869.9,VERTY
6,2000918O,FLIBONBT,11,MAU,,2.0,Test,4-Extra Dark,1NEH00029A,1669.0,9869.9,PR
7,2000918O,FLIBONBT,11,MAU,,2.0,Test,4-Extra Dark,1NEH00029A,1669.0,9869.9,DUNROLLDYE
8,2000918O,FLIBONBT,11,MAU,,2.0,Test,4-Extra Dark,1NEH00029A,1669.0,9869.9,DROPE1/1
9,2000918O,FLIBONBT,11,MAU,,2.0,Test,4-Extra Dark,1NEH00029A,1669.0,9869.9,FSLIT
10,2000918O,FLIBONBT,11,MAU,,2.0,Test,4-Extra Dark,1NEH00029A,1669.0,9869.9,FSTPAD
11,2000918O,FLIBONBT,11,MAU,,2.0,Test,4-Extra Dark,1NEH00029A,1669.0,9869.9,FST
12,2000918O,FLIBONBT,11,MAU,,2.0,Test,4-Extra Dark,1NEH00029A,1669.0,9869.9,XXYU
13,2000918O,FLIBONBT,11,MAU,,2.0,Test,4-Extra Dark,1NEH00029A,1669.0,9869.9,VE
14,243673,sd,7,MAU,,,,,,,,
15,243673,sd,8,MAU,,,,,,,,
16,243673,sd,11,NULL,,2.0,Test,4-Extra Dark,1NEH00029A,1669.0,9869.9,DSFF
17,243673,sd,11,NULL,,2.0,Test,4-Extra Dark,1NEH00029A,1669.0,9869.9,DFGH
18,243673,sd,11,NULL,,2.0,Test,4-Extra Dark,1NEH00029A,1669.0,9869.9,FSTPAD
19,243673,sd,11,NULL,,2.0,Test,4-Extra Dark,1NEH00029A,1669.0,9869.9,DEMP
20,243673,sd,11,NULL,,2.0,Test,4-Extra Dark,1NEH00029A,1669.0,9869.9,PR
21,243673,sd,11,NULL,,2.0,Test,4-Extra Dark,1NEH00029A,1669.0,9869.9,DUNROLLDYE
22,243673,sd,11,NULL,,2.0,Test,4-Extra Dark,1NEH00029A,1669.0,9869.9,DROPE1/1
23,243673,sd,11,NULL,,2.0,Test,4-Extra Dark,1NEH00029A,1669.0,9869.9,FSLIT
24,243673,sd,11,NULL,,2.0,Test,4-Extra Dark,1NEH00029A,1669.0,9869.9,FSTPAD
25,243673,sd,11,NULL,,2.0,Test,4-Extra Dark,1NEH00029A,1669.0,9869.9,FST
26,243673,sd,11,NULL,,2.0,Test,4-Extra Dark,1NEH00029A,1669.0,9869.9,VE
27,2433563,DEMP,7,MAU,,,,,,,,
28,2433563,DEMP,8,MAU,,,,,,,,
29,2433563,DEMP,11,MAU,,2.0,Test,4-Extra Dark,1NEH00029A,1669.0,9869.9,DSFF
30,2433563,DEMP,11,MAU,,2.0,Test,4-Extra Dark,1NEH00029A,1669.0,9869.9,DFGH
31,2433563,DEMP,11,MAU,,2.0,Test,4-Extra Dark,1NEH00029A,1669.0,9869.9,FSTPAD
32,2433563,DEMP,11,MAU,,2.0,Test,4-Extra Dark,1NEH00029A,1669.0,9869.9,VERTY
33,2433563,DEMP,11,MAU,,2.0,Test,4-Extra Dark,1NEH00029A,1669.0,9869.9,PR
34,2433563,DEMP,11,MAU,,2.0,Test,4-Extra Dark,1NEH00029A,1669.0,9869.9,DUNROLLDYE
35,2433563,DEMP,11,MAU,,2.0,Test,4-Extra Dark,1NEH00029A,1669.0,9869.9,DROPE1/1
36,2433563,DEMP,11,MAU,,2.0,Test,4-Extra Dark,1NEH00029A,1669.0,9869.9,XXYU
37,2433563,DEMP,11,MAU,,2.0,Test,4-Extra Dark,1NEH00029A,1669.0,9869.9,VE
38,343633,DEMPPPP,1,MAU,EXC-CF1802661/01,2.0,K-Basic with OBA,1-Light,1BLK00015A,268.0,1112.96,TTAX
39,343633,DEMPPPP,1,MAU,EXC-CF1802661/01,2.0,K-Basic with OBA,1-Light,1BLK00015A,268.0,1112.96,PR
40,343633,DEMPPPP,1,MAU,EXC-CF1802661/01,2.0,K-Basic with OBA,1-Light,1BLK00015A,268.0,1112.96,FSLIT
41,343633,DEMPPPP,1,MAU,EXC-CF1802661/01,2.0,K-Basic with OBA,1-Light,1BLK00015A,268.0,1112.96,SDFG
42,343633,DEMPPPP,1,MAU,EXC-CF1802661/01,2.0,K-Basic with OBA,1-Light,1BLK00015A,268.0,1112.96,FST
43,343633,DEMPPPP,1,MAU,EXC-CF1802661/01,2.0,K-Basic with OBA,1-Light,1BLK00015A,268.0,1112.96,FGH
44,343633,DEMPPPP,1,MAU,EXC-CF1802661/01,2.0,K-Basic with OBA,1-Light,1BLK00015A,268.0,1112.96,FPACKWINDER
45,343633,DEMPPPP,1,MAU,EXC-CF1802661/01,2.0,K-Basic with OBA,1-Light,1BLK00015A,268.0,1112.96,VE
46,343633,DEMPPPP,7,DEM,,,,,,,,
47,343633,DEMPPPP,8,MAU,EXC-CF1800120/02,2.0,K-Basic with OBA,1-Light,1BLK00015A,8.0,31.19,FABAVL
